0,1526,377,61
1,717,1843,75
2,493,815,92
3,773,648,69
4,883,512,62
5,377,331,2
6,910,1118,31
7,363,1410,37
8,525,1077,30
9,1125,446,21
10,570,381,97
11,8,1773,6
12,940,1717,47
13,702,187,88
14,278,251,94
15,1872,842,35
16,436,1045,38
17,1964,1218,73
18,957,315,88
19,1239,1793,74
20,739,263,81
21,534,227,31
22,921,1117,59
23,1383,639,44
24,1134,1229,68
25,552,1480,4
26,1712,527,65
27,1538,898,65
28,1437,1763,51
29,1779,1184,12
30,33,1108,83
31,1403,1475,61
32,564,919,43
33,1958,1166,79
34,880,1826,65
35,1791,1412,63
36,948,267,71
37,427,770,85
38,334,1441,46
39,1673,490,84
40,802,1742,58
41,756,1863,74
42,668,930,86
43,1350,109,54
44,1126,567,51
45,551,781,36
46,1137,414,20
47,148,1742,57
48,1271,435,11
49,1878,1032,93
50,954,1504,26
51,722,473,46
52,117,1440,45
53,627,1817,73
54,1059,676,12
55,1844,1051,95
56,231,106,63
57,1172,475,53
58,1491,1361,84
59,1348,1829,91
60,502,309,61
61,802,1953,76
62,1581,676,62
63,161,1714,14
64,650,1516,50
65,296,1822,50
66,532,463,24
67,1090,870,95
68,1685,1449,57
69,1097,742,86
70,1487,897,47
71,1770,1545,81
72,653,1444,13
73,1314,579,77
74,1230,1543,77
75,354,210,7
76,1149,1297,12
77,705,378,76
78,1243,1651,66
79,898,935,7
80,1742,324,2
81,86,1648,8
82,1525,1835,56
83,1009,1796,85
84,738,695,50
85,1784,967,92
86,1465,116,30
87,1487,698,20
88,1586,800,88
89,138,1262,15
90,595,815,52
91,81,266,37
92,1945,1787,24
93,1711,41,25
94,724,20,53
95,284,786,51
96,1361,1087,62
97,858,396,40
98,1075,894,5
99,1476,1176,86
100,1309,1679,51
101,1835,13,78
102,1897,871,89
103,1030,485,27
104,1654,1423,11
105,790,1499,96
106,1096,1812,32
107,1572,1620,68
108,1434,1673,4
109,1462,1434,84
110,13,1059,51
111,529,1931,89
112,1074,1615,38
113,178,562,79
114,1462,899,12
115,1277,1578,54
116,1811,980,47
117,957,327,78
118,949,516,78
119,1634,962,6
120,344,1221,25
121,1059,201,87
122,950,1057,80
123,1039,1031,4
124,30,141,86
125,689,1935,2
126,1469,1546,68
127,1045,986,16
128,1569,56,88
129,774,223,17
130,772,1366,73
131,1727,1040,16
132,485,7,89
133,633,1954,64
134,1652,440,77
135,1414,167,36
136,519,421,93
137,570,1207,53
138,979,177,43
139,1829,1675,7
140,1621,585,70
141,1660,469,40
142,1885,662,16
143,105,1652,91
144,1323,717,67
145,1442,181,85
146,1269,1602,58
147,205,1587,19
148,1760,365,28
149,409,1678,91
150,878,1422,100
151,1957,1868,55
152,481,1251,41
153,167,867,47
154,821,494,13
155,1800,1206,60
156,1005,1201,26
157,1234,955,56
158,1922,128,1
159,1298,1089,33
160,1744,816,22
161,258,1088,74
162,832,672,28
163,891,360,61
164,1396,296,19
165,1258,1227,57
166,633,847,30
167,305,88,58
168,486,224,57
169,1268,270,24
170,997,549,40
171,220,1967,50
172,565,504,29
173,684,370,25
174,788,1411,13
175,1811,889,72
176,608,773,33
177,864,897,59
178,554,1854,59
179,1674,1687,2
180,688,44,61
181,1718,1639,57
182,1340,1304,91
183,14,1617,9
184,1572,737,64
185,621,1285,97
186,649,384,94
187,1444,1662,60
188,1868,385,67
189,920,22,66
190,138,1564,67
191,254,1441,69
192,1193,494,18
193,1527,1991,18
194,29,916,97
195,750,1126,24
196,371,299,29
197,1559,401,3
198,670,1027,85
199,671,1614,30
200,699,280,25
201,125,168,99
202,1911,761,80
203,274,1416,22
204,338,95,7
205,766,89,90
206,1979,420,41
207,646,1841,74
208,1418,1663,68
209,354,320,20
210,1101,1184,11
211,603,1998,52
212,1452,1560,18
213,234,1656,42
214,1751,795,28
215,951,279,25
216,1258,1032,78
217,814,1463,25
218,280,525,64
219,249,1062,29
220,230,532,39
221,1564,120,56
222,269,1046,88
223,1006,1329,5
224,50,1258,86
225,1421,1611,46
226,1620,1514,13
227,1826,1588,39
228,1722,119,11
229,1929,571,84
230,460,75,58
231,601,291,96
232,831,1843,43
233,1613,671,28
234,1122,1349,89
235,1325,1663,38
236,1462,1301,39
237,1146,1411,23
238,1432,1263,21
239,1802,886,15
240,304,307,60
241,1986,503,76
242,1799,895,77
243,1880,1360,84
244,587,345,15
245,1390,9,81
246,246,1454,3
247,1032,872,3
248,10,526,59
249,227,623,69
250,204,1262,67
251,769,792,48
252,1521,1763,13
253,597,1369,47
254,1187,232,40
255,540,1449,65
256,52,477,96
257,779,148,40
258,429,426,36
259,142,249,64
260,1744,1748,2
261,1606,433,20
262,652,1552,16
263,70,301,12
264,921,1371,49
265,1595,1688,43
266,204,1697,91
267,1143,1370,16
268,1670,258,65
269,376,1720,17
270,452,1677,84
271,520,271,91
272,1419,58,25
273,294,1953,83
274,1246,1605,17
275,1897,1942,40
276,614,952,41
277,1930,1811,11
278,291,75,22
279,1175,746,22
280,1437,509,3
281,1874,136,91
282,1547,251,74
283,1059,331,59
284,1317,1157,33
285,1229,1647,29
286,788,1705,16
287,655,1600,17
288,1766,1022,7
289,299,1948,38
290,528,156,25
291,1691,173,88
292,1182,762,76
293,70,1517,33
294,452,1642,76
295,1870,1238,13
296,1075,1592,70
297,97,1118,30
298,607,1733,10
299,1768,1762,94
300,1917,1918,65
301,1087,1231,63
302,1064,326,47
303,1462,884,12
304,1747,539,99
305,438,1924,90
306,379,473,61
307,1783,934,86
308,1733,748,90
309,374,1774,71
310,838,1304,44
311,1886,967,71
312,1674,1613,35
313,627,1192,3
314,847,459,90
315,1144,1111,2
316,412,610,51
317,746,1509,37
318,1528,976,88
319,576,1296,76
320,1825,1269,66
321,1907,872,60
322,790,519,8
323,736,1144,94
324,459,162,82
325,883,1717,17
326,94,529,1
327,986,565,44
328,1762,1200,21
329,1909,838,63
330,1954,233,33
331,743,1552,10
332,1601,1890,63
333,1689,225,61
334,1851,802,74
335,111,1021,97
336,1103,111,11
337,812,120,60
338,1079,738,30
339,1401,1017,87
340,127,1294,99
341,89,673,41
342,1861,1022,75
343,20,934,55
344,1226,901,33
345,1056,824,71
346,46,168,22
347,551,1892,11
348,1579,370,91
349,677,497,64
350,119,1718,11
351,342,1617,100
352,1228,1563,15
353,924,467,48
354,1029,644,10
355,1509,274,28
356,1984,1763,76
357,1683,225,68
