1,1,2,18
2,2,3,23
3,3,4,89
4,4,5,11
5,1,7,9
6,7,8,4
7,8,3,64
8,5,2,58
9,2,6,49
10,6,9,8
11,9,10,25
12,10,11,9
13,11,12,85
14,9,13,71
15,13,10,2
16,10,16,77
17,16,14,35
18,14,15,6
19,15,11,84
20,12,18,27
21,12,18,15
22,20,19,72
23,21,20,57
24,21,24,45
25,24,19,10
26,17,21,51
27,22,24,38
28,26,17,14
29,24,26,20
30,18,22,21
32,28,30,10
33,30,29,10
34,29,31,16
35,31,27,18
36,28,29,10
37,29,27,10
39,33,32,84
40,32,34,2
41,33,34,17
42,33,36,84
43,34,35,29
44,34,36,53
45,35,36,74
46,27,1,76
47,19,33,5
48,28,37,10
49,37,38,10
50,38,27,5
