0,1357,516,28
1,609,1774,93
2,485,1962,57
3,793,340,79
4,541,839,49
5,300,52,62
6,16,1019,16
7,1786,1071,26
8,834,1076,29
9,1126,1100,74
10,361,614,79
11,1334,1313,71
12,1113,422,14
13,816,544,24
14,928,373,27
15,519,346,21
16,1944,282,92
17,1176,630,32
18,1833,930,24
19,896,222,93
20,1995,1705,83
21,836,1040,37
22,1921,1599,46
23,1530,628,38
24,194,373,59
25,570,599,78
26,1184,571,91
27,560,1708,72
28,858,950,75
29,802,1043,26
30,848,1779,33
31,473,81,74
32,1292,1878,97
33,1600,1502,15
34,349,342,14
35,37,543,51
36,627,1691,13
37,908,522,22
38,158,1837,28
39,1483,983,3
40,466,997,100
41,883,433,68
42,291,57,35
43,1873,1777,86
44,1014,888,20
45,243,1068,71
46,705,1887,75
47,13,753,90
48,1287,699,9
49,450,406,40
50,474,897,11
51,1227,1726,12
52,1685,1728,46
53,1680,961,88
54,1040,1966,78
55,1839,1855,52
56,577,758,40
57,1469,1353,66
58,891,1308,84
59,1341,311,6
60,1530,1214,18
61,285,825,60
62,1721,964,13
63,1174,707,99
64,490,890,71
65,763,571,91
66,198,15,77
67,741,1633,32
68,1408,1916,96
69,1162,740,87
70,332,1551,8
71,474,1924,92
72,79,1133,82
73,1955,48,54
74,237,1807,15
75,1670,1573,9
76,1607,683,46
77,1451,1162,50
78,1679,1598,18
79,743,812,37
80,35,1176,78
81,484,1886,23
82,1128,1050,87
83,710,96,10
84,1859,1200,87
85,1735,226,37
86,1003,697,28
87,462,1803,3
88,282,1707,16
89,1407,1507,97
90,1377,1197,97
91,335,1203,15
92,1451,1812,58
93,1160,861,8
94,1595,1144,17
95,1155,1908,39
96,304,999,80
97,1833,957,14
98,1000,653,5
99,336,962,12
100,1900,1505,54
101,272,1514,46
102,514,1576,21
103,1135,109,18
104,466,308,85
105,156,1,29
106,1518,480,10
107,1724,118,36
108,21,233,58
109,320,1921,71
110,852,1852,24
111,1406,706,52
112,65,955,22
113,1749,1159,24
114,508,755,17
115,183,620,93
116,1562,1249,88
117,1824,1563,31
118,106,712,78
119,1296,433,82
120,1013,1451,97
121,86,682,73
122,1627,932,77
123,334,1654,65
124,1396,1920,36
125,540,1622,29
126,640,85,83
127,713,1228,62
128,1606,470,6
129,1556,395,11
130,747,1623,7
131,303,520,85
132,1950,1027,99
133,212,1331,73
134,1320,1570,34
135,579,1244,37
136,1474,931,23
137,1383,1021,60
138,942,1156,97
139,619,234,2
140,215,234,75
141,1961,1194,40
142,1095,1839,64
143,1433,411,81
144,940,395,71
145,1567,1144,55
146,348,1845,21
147,1609,1994,82
148,1909,41,92
149,1237,1219,39
150,53,242,9
151,667,263,43
152,153,1342,37
153,1291,1641,58
154,575,138,56
155,947,1273,66
156,1278,218,86
157,465,796,64
158,1199,100,43
159,1183,1540,99
160,179,222,96
161,1522,1758,78
162,1687,919,74
163,312,1708,96
164,1470,248,100
165,1583,664,31
166,1542,1571,76
167,1885,1128,97
168,1096,1297,86
169,1772,364,16
170,645,1538,31
171,1291,619,92
172,982,884,12
173,1344,44,8
174,1456,1296,71
175,1296,1391,4
176,202,209,64
177,264,1131,32
